agent_tool_calls,agent_turns,all_evidence_shared_recall,all_evidence_union_recall,condition,cooperation_behavior_score,coordination_accuracy,decision_correct,decision_method,decision_state_accuracy,evidence_quality,final_candidate,important_evidence_shared_recall,important_evidence_union_recall,metadata_file,old_embedding_similarity,old_smm_quality,public_important_fact_recall,quality_penalty,rounds,run_id,similarity_candidate_coverage_checklist,similarity_candidate_review_status,similarity_current_positions,similarity_group_decision_state,similarity_information_distribution,smm_mode,smm_quality_cognitive_only,smm_quality_cognitive_only_raw,smm_quality_prototype,smm_quality_raw,smm_quality_without_decision_state,smm_quality_without_decision_state_raw,smm_whole_similarity,tool_usefulness_score,total_tokens,unsupported_flag_count,vote_revision_score
1,9,0.785185,1.0,high,0.553947,1.0,0,consensus,0.466667,0.802632,Candidate B,0.736842,1.0,01_data/backup/backup_01/high/high_treatment_20260606_092841_045/metadata.json,0.940141,0.678991,0.552632,0.0,3,high_treatment_20260606_092841_045,1.0,0.822075,0.333118,0.616238,0.645956,treatment,0.758114,0.758114,0.73761,0.73761,0.802237,0.802237,0.690133,1.0,349241,0,0.0
2,6,0.592593,0.955556,high,0.605099,1.0,1,consensus,0.8,0.565789,Candidate C,0.447368,0.921053,01_data/backup/backup_01/high/high_treatment_20260606_092841_046/metadata.json,0.947014,0.526119,0.526316,0.0,2,high_treatment_20260606_092841_046,0.374242,0.750911,0.624651,0.693996,0.220904,treatment,0.711184,0.711184,0.70537,0.70537,0.682204,0.682204,0.576921,0.8625,224388,0,0.5
2,6,0.481481,0.955556,high,0.447204,1.0,0,consensus,0.4,0.546053,Candidate B,0.421053,0.921053,01_data/backup/backup_01/high/high_treatment_20260606_092841_047/metadata.json,0.929101,0.516168,0.421053,0.0,2,high_treatment_20260606_092841_047,0.75381,0.747351,0.613952,0.695468,0.289356,treatment,0.600329,0.600329,0.592804,0.592804,0.63977,0.63977,0.626012,0.8625,197863,0,0.0
0,6,0.688889,0.866667,high,0.418421,1.0,1,consensus,0.8,0.703947,Candidate C,0.657895,0.842105,01_data/backup/backup_01/high/high_treatment_20260606_092841_048/metadata.json,0.962199,0.694921,0.578947,0.0,2,high_treatment_20260606_092841_048,0.816667,0.836503,0.557407,0.862292,0.654517,treatment,0.787171,0.787171,0.739539,0.739539,0.720855,0.720855,0.761415,0.0,169470,0,0.5
2,6,0.555556,0.977778,high,0.365789,1.0,0,consensus,0.533333,0.585526,Candidate B,0.447368,1.0,01_data/backup/backup_01/high/high_treatment_20260606_092841_049/metadata.json,0.949109,0.421826,0.210526,0.12,2,high_treatment_20260606_092841_049,0.687778,0.75132,0.491252,0.745439,0.525382,treatment,0.535373,0.655373,0.505022,0.625022,0.525197,0.645197,0.659592,1.0,188672,6,0.0
0,9,0.62963,0.911111,high,0.231579,1.0,0,consensus,0.4,0.625,Candidate B,0.552632,0.842105,01_data/backup/backup_01/high/high_treatment_20260606_092841_050/metadata.json,0.9467,0.683728,0.421053,0.04,3,high_treatment_20260606_092841_050,0.285633,0.801774,0.439553,0.754677,0.623405,treatment,0.60375,0.64375,0.555987,0.595987,0.600066,0.640066,0.650733,0.0,345643,2,0.0
0,6,0.407407,1.0,high,0.0,1.0,0,consensus,0.4,0.407895,Candidate A,0.210526,1.0,01_data/backup/backup_01/high/high_treatment_20260606_092841_051/metadata.json,0.965019,0.375285,0.0,0.0,2,high_treatment_20260606_092841_051,0.73642,0.742323,0.63357,0.715579,0.669438,treatment,0.524342,0.524342,0.463553,0.463553,0.474342,0.474342,0.705493,0.0,149772,0,0.0
4,6,0.688889,0.955556,high,0.792982,1.0,1,consensus,0.8,0.684211,Candidate C,0.605263,0.921053,01_data/backup/backup_01/high/high_treatment_20260606_092841_052/metadata.json,0.947599,0.684377,0.684211,0.0,2,high_treatment_20260606_092841_052,0.793716,0.826102,0.564463,0.808947,0.502086,treatment,0.776316,0.776316,0.786842,0.786842,0.784912,0.784912,0.715384,1.0,253676,0,0.833333
0,6,0.614815,0.977778,high,0.518421,1.0,1,consensus,0.933333,0.743421,Candidate C,0.657895,1.0,01_data/backup/backup_01/high/high_treatment_20260606_092841_053/metadata.json,0.956084,0.584273,0.578947,0.0,2,high_treatment_20260606_092841_053,0.761328,0.794116,0.634307,0.65239,0.738752,treatment,0.842215,0.842215,0.798969,0.798969,0.762566,0.762566,0.727448,0.0,175642,0,1.0
2,6,0.703704,0.82963,high,0.658333,1.0,1,consensus,0.8,0.677632,Candidate C,0.657895,0.736842,01_data/backup/backup_01/high/high_treatment_20260606_092841_054/metadata.json,0.956489,0.63766,0.5,0.04,2,high_treatment_20260606_092841_054,0.882323,0.839919,0.574081,0.746284,0.492329,treatment,0.732697,0.772697,0.723684,0.763684,0.714364,0.754364,0.716039,1.0,242242,2,0.666667
